Level,Health,Attack,Mana,,,,Multipler,DiffSpike1,Diffspike2,AdditionShift
1,9,3,0,,,Health,10,20,50,4
2,9,3,0,,,Attack,3,50,60,4
3,9,3,0,,,Mana,0.5,20,60,4
4,9,3,0,,,,,,,
5,9,3,0,,,,,,,
6,10,3,0,,,,,,,
7,10,3,0,,,,,,,
8,10,3,0,,,,,,,
9,10,3,0,,,,,,,
10,10,3,0,,,,,,,
11,10,3,0,,,,,,,
12,10,3,1,,,,,,,
13,10,3,1,,,,,,,
14,11,3,1,,,,,,,
15,11,3,1,,,,,,,
16,11,3,1,,,,,,,
17,12,3,1,,,,,,,
18,14,3,1,,,,,,,
19,17,3,1,,,,,,,
20,25,3,1,,,,,,,
21,32,3,2,,,,,,,
22,36,3,2,,,,,,,
23,37,3,2,,,,,,,
24,38,3,2,,,,,,,
25,38,3,2,,,,,,,
26,39,3,2,,,,,,,
27,39,3,2,,,,,,,
28,39,3,2,,,,,,,
29,39,3,2,,,,,,,
30,40,3,2,,,,,,,
31,40,3,2,,,,,,,
32,40,3,2,,,,,,,
33,40,3,2,,,,,,,
34,40,3,2,,,,,,,
35,40,3,2,,,,,,,
36,40,3,2,,,,,,,
37,40,3,2,,,,,,,
38,40,3,2,,,,,,,
39,40,3,2,,,,,,,
40,40,3,2,,,,,,,
41,41,3,2,,,,,,,
42,41,3,2,,,,,,,
43,41,3,2,,,,,,,
44,41,3,2,,,,,,,
45,42,3,2,,,,,,,
46,42,4,2,,,,,,,
47,43,4,2,,,,,,,
48,44,4,2,,,,,,,
49,48,5,2,,,,,,,
50,55,8,2,,,,,,,
51,63,10,2,,,,,,,
52,66,11,2,,,,,,,
53,68,11,2,,,,,,,
54,69,12,2,,,,,,,
55,69,12,2,,,,,,,
56,69,12,2,,,,,,,
57,70,13,2,,,,,,,
58,70,13,2,,,,,,,
59,70,14,2,,,,,,,
60,70,16,3,,,,,,,
61,70,19,3,,,,,,,
62,70,20,3,,,,,,,
63,70,20,3,,,,,,,
64,70,20,3,,,,,,,
65,71,21,3,,,,,,,
66,71,21,3,,,,,,,
67,71,21,3,,,,,,,
68,71,21,3,,,,,,,
69,71,21,4,,,,,,,
70,71,21,4,,,,,,,
71,71,21,4,,,,,,,
72,71,21,4,,,,,,,
73,71,21,4,,,,,,,
74,71,21,4,,,,,,,
75,71,21,4,,,,,,,
76,71,21,4,,,,,,,
77,71,21,4,,,,,,,
78,71,21,4,,,,,,,
79,71,21,4,,,,,,,
80,71,21,4,,,,,,,
81,71,21,4,,,,,,,
82,71,21,4,,,,,,,
83,71,21,4,,,,,,,
84,71,21,4,,,,,,,
85,71,21,4,,,,,,,
86,71,21,4,,,,,,,
87,71,21,4,,,,,,,
88,71,21,4,,,,,,,
89,71,21,4,,,,,,,
90,71,21,4,,,,,,,
91,71,21,4,,,,,,,
92,71,21,4,,,,,,,
93,71,21,4,,,,,,,
94,71,21,4,,,,,,,
95,71,21,4,,,,,,,
96,71,21,4,,,,,,,
97,71,21,4,,,,,,,
98,71,21,4,,,,,,,
99,71,21,4,,,,,,,
100,71,21,4,,,,,,,
