Level,Health,Attack,Mana,,,,Multipler,DiffSpike1,Diffspike2,AdditionShift
1,9,3,0,,,Health,10,50,50,4
2,9,3,0,,,Attack,3,50,50,4
3,9,3,0,,,Mana,0.1,50,50,4
4,9,3,0,,,,,,,
5,9,3,0,,,,,,,
6,9,3,0,,,,,,,
7,9,3,0,,,,,,,
8,9,3,0,,,,,,,
9,9,3,0,,,,,,,
10,9,3,0,,,,,,,
11,9,3,0,,,,,,,
12,9,3,0,,,,,,,
13,9,3,0,,,,,,,
14,9,3,0,,,,,,,
15,9,3,0,,,,,,,
16,9,3,0,,,,,,,
17,9,3,0,,,,,,,
18,9,3,0,,,,,,,
19,9,3,0,,,,,,,
20,9,3,0,,,,,,,
21,9,3,0,,,,,,,
22,9,3,0,,,,,,,
23,9,3,0,,,,,,,
24,9,3,0,,,,,,,
25,9,3,0,,,,,,,
26,9,3,0,,,,,,,
27,9,3,0,,,,,,,
28,9,3,0,,,,,,,
29,10,3,0,,,,,,,
30,10,3,0,,,,,,,
31,10,3,0,,,,,,,
32,10,3,0,,,,,,,
33,10,3,0,,,,,,,
34,10,3,0,,,,,,,
35,10,3,0,,,,,,,
36,10,3,0,,,,,,,
37,10,3,0,,,,,,,
38,10,3,0,,,,,,,
39,10,3,0,,,,,,,
40,11,3,0,,,,,,,
41,11,3,0,,,,,,,
42,11,3,0,,,,,,,
43,11,3,0,,,,,,,
44,12,4,0,,,,,,,
45,13,4,0,,,,,,,
46,13,4,0,,,,,,,
47,15,5,0,,,,,,,
48,18,5,0,,,,,,,
49,24,7,0,,,,,,,
50,40,12,0,,,,,,,
51,56,17,1,,,,,,,
52,62,19,1,,,,,,,
53,65,19,1,,,,,,,
54,67,20,1,,,,,,,
55,67,20,1,,,,,,,
56,68,20,1,,,,,,,
57,69,21,1,,,,,,,
58,69,21,1,,,,,,,
59,69,21,1,,,,,,,
60,69,21,1,,,,,,,
61,70,21,1,,,,,,,
62,70,21,1,,,,,,,
63,70,21,1,,,,,,,
64,70,21,1,,,,,,,
65,70,21,1,,,,,,,
66,70,21,1,,,,,,,
67,70,21,1,,,,,,,
68,70,21,1,,,,,,,
69,70,21,1,,,,,,,
70,70,21,1,,,,,,,
71,70,21,1,,,,,,,
72,71,21,1,,,,,,,
73,71,21,1,,,,,,,
74,71,21,1,,,,,,,
75,71,21,1,,,,,,,
76,71,21,1,,,,,,,
77,71,21,1,,,,,,,
78,71,21,1,,,,,,,
79,71,21,1,,,,,,,
80,71,21,1,,,,,,,
81,71,21,1,,,,,,,
82,71,21,1,,,,,,,
83,71,21,1,,,,,,,
84,71,21,1,,,,,,,
85,71,21,1,,,,,,,
86,71,21,1,,,,,,,
87,71,21,1,,,,,,,
88,71,21,1,,,,,,,
89,71,21,1,,,,,,,
90,71,21,1,,,,,,,
91,71,21,1,,,,,,,
92,71,21,1,,,,,,,
93,71,21,1,,,,,,,
94,71,21,1,,,,,,,
95,71,21,1,,,,,,,
96,71,21,1,,,,,,,
97,71,21,1,,,,,,,
98,71,21,1,,,,,,,
99,71,21,1,,,,,,,
100,71,21,1,,,,,,,
