Level,Health,Attack,Mana,,,,Multipler,DiffSpike1,Diffspike2,AdditionShift
1,9,3,1,,,Health,10,50,50,4
2,9,3,1,,,Attack,3,50,50,4
3,9,3,1,,,Mana,1,50,50,4
4,9,3,1,,,,,,,
5,9,3,1,,,,,,,
6,9,3,1,,,,,,,
7,9,3,1,,,,,,,
8,9,3,1,,,,,,,
9,9,3,1,,,,,,,
10,9,3,1,,,,,,,
11,9,3,1,,,,,,,
12,9,3,1,,,,,,,
13,9,3,1,,,,,,,
14,9,3,1,,,,,,,
15,9,3,1,,,,,,,
16,9,3,1,,,,,,,
17,9,3,1,,,,,,,
18,9,3,1,,,,,,,
19,9,3,1,,,,,,,
20,9,3,1,,,,,,,
21,9,3,1,,,,,,,
22,9,3,1,,,,,,,
23,9,3,1,,,,,,,
24,9,3,1,,,,,,,
25,9,3,1,,,,,,,
26,9,3,1,,,,,,,
27,9,3,1,,,,,,,
28,9,3,1,,,,,,,
29,10,3,1,,,,,,,
30,10,3,1,,,,,,,
31,10,3,1,,,,,,,
32,10,3,1,,,,,,,
33,10,3,1,,,,,,,
34,10,3,1,,,,,,,
35,10,3,1,,,,,,,
36,10,3,1,,,,,,,
37,10,3,1,,,,,,,
38,10,3,1,,,,,,,
39,10,3,1,,,,,,,
40,11,3,1,,,,,,,
41,11,3,1,,,,,,,
42,11,3,1,,,,,,,
43,11,3,1,,,,,,,
44,12,4,1,,,,,,,
45,13,4,1,,,,,,,
46,13,4,1,,,,,,,
47,15,5,2,,,,,,,
48,18,5,2,,,,,,,
49,24,7,2,,,,,,,
50,40,12,4,,,,,,,
51,56,17,6,,,,,,,
52,62,19,6,,,,,,,
53,65,19,6,,,,,,,
54,67,20,7,,,,,,,
55,67,20,7,,,,,,,
56,68,20,7,,,,,,,
57,69,21,7,,,,,,,
58,69,21,7,,,,,,,
59,69,21,7,,,,,,,
60,69,21,7,,,,,,,
61,70,21,7,,,,,,,
62,70,21,7,,,,,,,
63,70,21,7,,,,,,,
64,70,21,7,,,,,,,
65,70,21,7,,,,,,,
66,70,21,7,,,,,,,
67,70,21,7,,,,,,,
68,70,21,7,,,,,,,
69,70,21,7,,,,,,,
70,70,21,7,,,,,,,
71,70,21,7,,,,,,,
72,71,21,7,,,,,,,
73,71,21,7,,,,,,,
74,71,21,7,,,,,,,
75,71,21,7,,,,,,,
76,71,21,7,,,,,,,
77,71,21,7,,,,,,,
78,71,21,7,,,,,,,
79,71,21,7,,,,,,,
80,71,21,7,,,,,,,
81,71,21,7,,,,,,,
82,71,21,7,,,,,,,
83,71,21,7,,,,,,,
84,71,21,7,,,,,,,
85,71,21,7,,,,,,,
86,71,21,7,,,,,,,
87,71,21,7,,,,,,,
88,71,21,7,,,,,,,
89,71,21,7,,,,,,,
90,71,21,7,,,,,,,
91,71,21,7,,,,,,,
92,71,21,7,,,,,,,
93,71,21,7,,,,,,,
94,71,21,7,,,,,,,
95,71,21,7,,,,,,,
96,71,21,7,,,,,,,
97,71,21,7,,,,,,,
98,71,21,7,,,,,,,
99,71,21,7,,,,,,,
100,71,21,7,,,,,,,
