Level,Health,Attack,Mana,,,,Multipler,DiffSpike1,Diffspike2,AdditionShift
1,13,9,3,,,Health,15,50,75,4
2,13,9,3,,,Attack,10,25,50,4
3,13,9,3,,,Mana,3,25,75,4
4,13,9,3,,,,,,,
5,13,9,3,,,,,,,
6,13,9,3,,,,,,,
7,13,9,3,,,,,,,
8,13,9,3,,,,,,,
9,13,9,3,,,,,,,
10,13,9,3,,,,,,,
11,13,10,3,,,,,,,
12,14,10,3,,,,,,,
13,14,10,3,,,,,,,
14,14,10,3,,,,,,,
15,14,10,3,,,,,,,
16,14,10,3,,,,,,,
17,14,10,3,,,,,,,
18,14,10,3,,,,,,,
19,14,11,3,,,,,,,
20,14,11,3,,,,,,,
21,14,11,3,,,,,,,
22,14,12,4,,,,,,,
23,14,14,4,,,,,,,
24,14,17,5,,,,,,,
25,14,25,7,,,,,,,
26,14,33,10,,,,,,,
27,14,36,11,,,,,,,
28,14,37,11,,,,,,,
29,14,38,11,,,,,,,
30,14,39,11,,,,,,,
31,14,39,12,,,,,,,
32,14,39,12,,,,,,,
33,14,39,12,,,,,,,
34,14,40,12,,,,,,,
35,14,40,12,,,,,,,
36,14,40,12,,,,,,,
37,14,40,12,,,,,,,
38,15,40,12,,,,,,,
39,15,40,12,,,,,,,
40,15,40,12,,,,,,,
41,15,40,12,,,,,,,
42,15,41,12,,,,,,,
43,15,41,12,,,,,,,
44,16,41,12,,,,,,,
45,16,41,12,,,,,,,
46,17,42,12,,,,,,,
47,18,43,12,,,,,,,
48,20,44,12,,,,,,,
49,25,47,12,,,,,,,
50,37,55,12,,,,,,,
51,49,63,12,,,,,,,
52,54,66,12,,,,,,,
53,56,68,12,,,,,,,
54,57,69,12,,,,,,,
55,58,69,12,,,,,,,
56,58,69,12,,,,,,,
57,59,70,12,,,,,,,
58,59,70,12,,,,,,,
59,59,70,12,,,,,,,
60,60,70,12,,,,,,,
61,60,70,12,,,,,,,
62,60,70,12,,,,,,,
63,60,70,12,,,,,,,
64,60,70,12,,,,,,,
65,60,71,12,,,,,,,
66,61,71,12,,,,,,,
67,61,71,12,,,,,,,
68,61,71,12,,,,,,,
69,62,71,12,,,,,,,
70,62,71,13,,,,,,,
71,63,71,13,,,,,,,
72,64,71,13,,,,,,,
73,66,71,13,,,,,,,
74,71,71,14,,,,,,,
75,83,71,17,,,,,,,
76,95,71,19,,,,,,,
77,100,71,20,,,,,,,
78,102,71,20,,,,,,,
79,103,71,21,,,,,,,
80,104,71,21,,,,,,,
81,104,71,21,,,,,,,
82,105,71,21,,,,,,,
83,105,71,21,,,,,,,
84,105,71,21,,,,,,,
85,105,71,21,,,,,,,
86,105,71,21,,,,,,,
87,105,71,21,,,,,,,
88,106,71,21,,,,,,,
89,106,71,21,,,,,,,
90,106,71,21,,,,,,,
91,106,71,21,,,,,,,
92,106,71,21,,,,,,,
93,106,71,21,,,,,,,
94,106,71,21,,,,,,,
95,106,71,21,,,,,,,
96,106,71,21,,,,,,,
97,106,71,21,,,,,,,
98,106,71,21,,,,,,,
99,106,71,21,,,,,,,
100,106,71,21,,,,,,,
