Level,Health,Attack,Mana,,,,Multipler,DiffSpike1,Diffspike2,AdditionShift
1,25,2,0,,,Health,25,10,50,4
2,25,2,0,,,Attack,2,50,90,4
3,26,2,0,,,Mana,0.5,50,90,4
4,26,2,0,,,,,,,
5,27,2,0,,,,,,,
6,28,2,0,,,,,,,
7,30,2,0,,,,,,,
8,34,2,0,,,,,,,
9,42,2,0,,,,,,,
10,61,2,0,,,,,,,
11,81,2,0,,,,,,,
12,89,2,0,,,,,,,
13,93,2,0,,,,,,,
14,95,2,0,,,,,,,
15,96,2,0,,,,,,,
16,97,2,0,,,,,,,
17,97,2,0,,,,,,,
18,98,2,0,,,,,,,
19,98,2,0,,,,,,,
20,98,2,0,,,,,,,
21,99,2,0,,,,,,,
22,99,2,0,,,,,,,
23,99,2,0,,,,,,,
24,99,2,0,,,,,,,
25,99,2,0,,,,,,,
26,99,2,0,,,,,,,
27,100,2,0,,,,,,,
28,100,2,0,,,,,,,
29,100,2,0,,,,,,,
30,100,2,0,,,,,,,
31,100,2,0,,,,,,,
32,100,2,0,,,,,,,
33,100,2,0,,,,,,,
34,101,2,0,,,,,,,
35,101,2,0,,,,,,,
36,101,2,0,,,,,,,
37,101,2,0,,,,,,,
38,101,2,0,,,,,,,
39,101,2,0,,,,,,,
40,102,2,0,,,,,,,
41,102,2,0,,,,,,,
42,102,2,1,,,,,,,
43,103,2,1,,,,,,,
44,103,2,1,,,,,,,
45,104,2,1,,,,,,,
46,105,2,1,,,,,,,
47,107,2,1,,,,,,,
48,111,3,1,,,,,,,
49,119,3,1,,,,,,,
50,139,5,1,,,,,,,
51,158,6,2,,,,,,,
52,166,7,2,,,,,,,
53,170,7,2,,,,,,,
54,172,8,2,,,,,,,
55,173,8,2,,,,,,,
56,174,8,2,,,,,,,
57,174,8,2,,,,,,,
58,175,8,2,,,,,,,
59,175,8,2,,,,,,,
60,176,8,2,,,,,,,
61,176,8,2,,,,,,,
62,176,8,2,,,,,,,
63,176,8,2,,,,,,,
64,176,8,2,,,,,,,
65,176,8,2,,,,,,,
66,177,8,2,,,,,,,
67,177,8,2,,,,,,,
68,177,8,2,,,,,,,
69,177,8,2,,,,,,,
70,177,8,2,,,,,,,
71,177,8,2,,,,,,,
72,177,8,2,,,,,,,
73,177,8,2,,,,,,,
74,177,8,2,,,,,,,
75,177,8,2,,,,,,,
76,177,8,2,,,,,,,
77,177,8,2,,,,,,,
78,177,8,2,,,,,,,
79,177,8,2,,,,,,,
80,177,8,2,,,,,,,
81,177,8,2,,,,,,,
82,177,8,2,,,,,,,
83,177,8,2,,,,,,,
84,177,8,2,,,,,,,
85,177,8,2,,,,,,,
86,178,8,2,,,,,,,
87,178,9,2,,,,,,,
88,178,9,2,,,,,,,
89,178,10,2,,,,,,,
90,178,11,3,,,,,,,
91,178,13,3,,,,,,,
92,178,13,3,,,,,,,
93,178,14,3,,,,,,,
94,178,14,3,,,,,,,
95,178,14,3,,,,,,,
96,178,14,3,,,,,,,
97,178,14,3,,,,,,,
98,178,14,3,,,,,,,
99,178,14,4,,,,,,,
100,178,14,4,,,,,,,
