Level,Health,Attack,Mana,,,,Multipler,DiffSpike1,Diffspike2,AdditionShift
1,91,46,18,,,Health,100,25,75,4
2,92,46,18,,,Attack,50,25,75,4
3,92,46,18,,,Mana,20,25,75,4
4,92,46,18,,,,,,,
5,92,46,18,,,,,,,
6,93,46,19,,,,,,,
7,93,46,19,,,,,,,
8,93,47,19,,,,,,,
9,94,47,19,,,,,,,
10,94,47,19,,,,,,,
11,95,47,19,,,,,,,
12,95,48,19,,,,,,,
13,96,48,19,,,,,,,
14,97,48,19,,,,,,,
15,97,49,19,,,,,,,
16,99,49,20,,,,,,,
17,100,50,20,,,,,,,
18,102,51,20,,,,,,,
19,104,52,21,,,,,,,
20,107,54,21,,,,,,,
21,112,56,22,,,,,,,
22,120,60,24,,,,,,,
23,134,67,27,,,,,,,
24,166,83,33,,,,,,,
25,245,122,49,,,,,,,
26,324,162,65,,,,,,,
27,356,178,71,,,,,,,
28,370,185,74,,,,,,,
29,378,189,76,,,,,,,
30,382,191,76,,,,,,,
31,386,193,77,,,,,,,
32,388,194,78,,,,,,,
33,390,195,78,,,,,,,
34,391,196,78,,,,,,,
35,393,196,79,,,,,,,
36,393,197,79,,,,,,,
37,394,197,79,,,,,,,
38,395,198,79,,,,,,,
39,396,198,79,,,,,,,
40,396,198,79,,,,,,,
41,397,198,79,,,,,,,
42,397,199,79,,,,,,,
43,398,199,80,,,,,,,
44,398,199,80,,,,,,,
45,398,199,80,,,,,,,
46,399,199,80,,,,,,,
47,399,200,80,,,,,,,
48,399,200,80,,,,,,,
49,400,200,80,,,,,,,
50,400,200,80,,,,,,,
51,400,200,80,,,,,,,
52,401,200,80,,,,,,,
53,401,200,80,,,,,,,
54,401,201,80,,,,,,,
55,402,201,80,,,,,,,
56,402,201,80,,,,,,,
57,402,201,80,,,,,,,
58,403,201,81,,,,,,,
59,403,202,81,,,,,,,
60,404,202,81,,,,,,,
61,404,202,81,,,,,,,
62,405,202,81,,,,,,,
63,406,203,81,,,,,,,
64,407,203,81,,,,,,,
65,407,204,81,,,,,,,
66,409,204,82,,,,,,,
67,410,205,82,,,,,,,
68,412,206,82,,,,,,,
69,414,207,83,,,,,,,
70,418,209,84,,,,,,,
71,422,211,84,,,,,,,
72,430,215,86,,,,,,,
73,444,222,89,,,,,,,
74,476,238,95,,,,,,,
75,555,278,111,,,,,,,
76,634,317,127,,,,,,,
77,666,333,133,,,,,,,
78,680,340,136,,,,,,,
79,688,344,138,,,,,,,
80,693,346,139,,,,,,,
81,696,348,139,,,,,,,
82,698,349,140,,,,,,,
83,700,350,140,,,,,,,
84,701,351,140,,,,,,,
85,703,351,141,,,,,,,
86,703,352,141,,,,,,,
87,704,352,141,,,,,,,
88,705,352,141,,,,,,,
89,705,353,141,,,,,,,
90,706,353,141,,,,,,,
91,706,353,141,,,,,,,
92,707,353,141,,,,,,,
93,707,354,141,,,,,,,
94,707,354,141,,,,,,,
95,708,354,142,,,,,,,
96,708,354,142,,,,,,,
97,708,354,142,,,,,,,
98,708,354,142,,,,,,,
99,709,354,142,,,,,,,
100,709,354,142,,,,,,,
