Level,Health,Attack,Mana,,,,Multipler,DiffSpike1,Diffspike2,AdditionShift
1,23,2,0,,,Health,25,25,50,4
2,23,2,0,,,Attack,2.5,50,75,4
3,23,2,0,,,Mana,0.5,50,90,4
4,23,2,0,,,,,,,
5,23,2,0,,,,,,,
6,23,2,0,,,,,,,
7,23,2,0,,,,,,,
8,24,2,0,,,,,,,
9,24,2,0,,,,,,,
10,24,2,0,,,,,,,
11,24,2,0,,,,,,,
12,24,2,0,,,,,,,
13,24,2,0,,,,,,,
14,24,2,0,,,,,,,
15,25,2,0,,,,,,,
16,25,2,0,,,,,,,
17,25,2,0,,,,,,,
18,26,2,0,,,,,,,
19,26,2,0,,,,,,,
20,27,2,0,,,,,,,
21,28,2,0,,,,,,,
22,30,2,0,,,,,,,
23,34,2,0,,,,,,,
24,42,2,0,,,,,,,
25,62,2,0,,,,,,,
26,81,2,0,,,,,,,
27,89,2,0,,,,,,,
28,93,2,0,,,,,,,
29,95,2,0,,,,,,,
30,96,2,0,,,,,,,
31,97,2,0,,,,,,,
32,98,2,0,,,,,,,
33,98,2,0,,,,,,,
34,99,2,0,,,,,,,
35,99,2,0,,,,,,,
36,100,2,0,,,,,,,
37,100,2,0,,,,,,,
38,100,2,0,,,,,,,
39,100,2,0,,,,,,,
40,101,2,0,,,,,,,
41,101,2,0,,,,,,,
42,102,3,1,,,,,,,
43,102,3,1,,,,,,,
44,103,3,1,,,,,,,
45,104,3,1,,,,,,,
46,105,3,1,,,,,,,
47,107,3,1,,,,,,,
48,111,3,1,,,,,,,
49,119,4,1,,,,,,,
50,138,6,1,,,,,,,
51,158,8,2,,,,,,,
52,166,9,2,,,,,,,
53,170,9,2,,,,,,,
54,172,10,2,,,,,,,
55,173,10,2,,,,,,,
56,174,10,2,,,,,,,
57,174,10,2,,,,,,,
58,175,10,2,,,,,,,
59,175,10,2,,,,,,,
60,175,10,2,,,,,,,
61,176,10,2,,,,,,,
62,176,10,2,,,,,,,
63,176,10,2,,,,,,,
64,176,10,2,,,,,,,
65,176,10,2,,,,,,,
66,176,10,2,,,,,,,
67,176,10,2,,,,,,,
68,177,10,2,,,,,,,
69,177,10,2,,,,,,,
70,177,10,2,,,,,,,
71,177,10,2,,,,,,,
72,177,11,2,,,,,,,
73,177,11,2,,,,,,,
74,177,12,2,,,,,,,
75,177,14,2,,,,,,,
76,177,16,2,,,,,,,
77,177,17,2,,,,,,,
78,177,17,2,,,,,,,
79,177,17,2,,,,,,,
80,177,17,2,,,,,,,
81,177,17,2,,,,,,,
82,177,17,2,,,,,,,
83,177,17,2,,,,,,,
84,177,18,2,,,,,,,
85,177,18,2,,,,,,,
86,177,18,2,,,,,,,
87,177,18,2,,,,,,,
88,177,18,2,,,,,,,
89,178,18,2,,,,,,,
90,178,18,3,,,,,,,
91,178,18,3,,,,,,,
92,178,18,3,,,,,,,
93,178,18,3,,,,,,,
94,178,18,3,,,,,,,
95,178,18,3,,,,,,,
96,178,18,3,,,,,,,
97,178,18,3,,,,,,,
98,178,18,3,,,,,,,
99,178,18,4,,,,,,,
100,178,18,4,,,,,,,
