Level,Health,Attack,Mana,,,,Multipler,DiffSpike1,Diffspike2,AdditionShift
1,25,5,0,,,Health,25,10,50,4
2,25,5,0,,,Attack,5,10,50,4
3,26,5,0,,,Mana,0.5,50,90,4
4,26,5,0,,,,,,,
5,27,5,0,,,,,,,
6,28,6,0,,,,,,,
7,30,6,0,,,,,,,
8,34,7,0,,,,,,,
9,42,8,0,,,,,,,
10,61,12,0,,,,,,,
11,81,16,0,,,,,,,
12,89,18,0,,,,,,,
13,93,19,0,,,,,,,
14,95,19,0,,,,,,,
15,96,19,0,,,,,,,
16,97,19,0,,,,,,,
17,97,19,0,,,,,,,
18,98,20,0,,,,,,,
19,98,20,0,,,,,,,
20,98,20,0,,,,,,,
21,99,20,0,,,,,,,
22,99,20,0,,,,,,,
23,99,20,0,,,,,,,
24,99,20,0,,,,,,,
25,99,20,0,,,,,,,
26,99,20,0,,,,,,,
27,100,20,0,,,,,,,
28,100,20,0,,,,,,,
29,100,20,0,,,,,,,
30,100,20,0,,,,,,,
31,100,20,0,,,,,,,
32,100,20,0,,,,,,,
33,100,20,0,,,,,,,
34,101,20,0,,,,,,,
35,101,20,0,,,,,,,
36,101,20,0,,,,,,,
37,101,20,0,,,,,,,
38,101,20,0,,,,,,,
39,101,20,0,,,,,,,
40,102,20,0,,,,,,,
41,102,20,0,,,,,,,
42,102,20,1,,,,,,,
43,103,21,1,,,,,,,
44,103,21,1,,,,,,,
45,104,21,1,,,,,,,
46,105,21,1,,,,,,,
47,107,21,1,,,,,,,
48,111,22,1,,,,,,,
49,119,24,1,,,,,,,
50,139,28,1,,,,,,,
51,158,32,2,,,,,,,
52,166,33,2,,,,,,,
53,170,34,2,,,,,,,
54,172,34,2,,,,,,,
55,173,35,2,,,,,,,
56,174,35,2,,,,,,,
57,174,35,2,,,,,,,
58,175,35,2,,,,,,,
59,175,35,2,,,,,,,
60,176,35,2,,,,,,,
61,176,35,2,,,,,,,
62,176,35,2,,,,,,,
63,176,35,2,,,,,,,
64,176,35,2,,,,,,,
65,176,35,2,,,,,,,
66,177,35,2,,,,,,,
67,177,35,2,,,,,,,
68,177,35,2,,,,,,,
69,177,35,2,,,,,,,
70,177,35,2,,,,,,,
71,177,35,2,,,,,,,
72,177,35,2,,,,,,,
73,177,35,2,,,,,,,
74,177,35,2,,,,,,,
75,177,35,2,,,,,,,
76,177,35,2,,,,,,,
77,177,35,2,,,,,,,
78,177,35,2,,,,,,,
79,177,35,2,,,,,,,
80,177,35,2,,,,,,,
81,177,35,2,,,,,,,
82,177,35,2,,,,,,,
83,177,35,2,,,,,,,
84,177,35,2,,,,,,,
85,177,35,2,,,,,,,
86,178,36,2,,,,,,,
87,178,36,2,,,,,,,
88,178,36,2,,,,,,,
89,178,36,2,,,,,,,
90,178,36,3,,,,,,,
91,178,36,3,,,,,,,
92,178,36,3,,,,,,,
93,178,36,3,,,,,,,
94,178,36,3,,,,,,,
95,178,36,3,,,,,,,
96,178,36,3,,,,,,,
97,178,36,3,,,,,,,
98,178,36,3,,,,,,,
99,178,36,4,,,,,,,
100,178,36,4,,,,,,,
